frb_name,lens_candidate,num_spikes,matched_peak_indices,matched_pairs,has_drift,report_file
FRB20190131D,True,1,"[np.int64(76), np.int64(85)]","[(np.int64(76), np.int64(85))]",False,Figures/FRB_lensing_results/FRB20190131D_report.txt
FRB20190915E,True,1,"[np.int64(77), np.int64(80)]","[(np.int64(77), np.int64(80))]",False,Figures/FRB_lensing_results/FRB20190915E_report.txt
FRB20191219B,True,2,"[np.int64(65), np.int64(98)]","[(np.int64(65), np.int64(98)), (np.int64(65), np.int64(98))]",False,Figures/FRB_lensing_results/FRB20191219B_report.txt
FRB20200122B,True,1,"[np.int64(64), np.int64(98)]","[(np.int64(64), np.int64(98))]",False,Figures/FRB_lensing_results/FRB20200122B_report.txt
FRB20210117D,True,1,"[np.int64(79), np.int64(82)]","[(np.int64(79), np.int64(82))]",False,Figures/FRB_lensing_results/FRB20210117D_report.txt
FRB20210130C,True,1,"[np.int64(79), np.int64(83), np.int64(87)]","[(np.int64(79), np.int64(83)), (np.int64(83), np.int64(87))]",False,Figures/FRB_lensing_results/FRB20210130C_report.txt
FRB20211229E,True,1,"[np.int64(65), np.int64(86)]","[(np.int64(65), np.int64(86))]",False,Figures/FRB_lensing_results/FRB20211229E_report.txt
FRB20220124A,True,1,"[np.int64(51), np.int64(112)]","[(np.int64(51), np.int64(112))]",False,Figures/FRB_lensing_results/FRB20220124A_report.txt
FRB20220225C,True,1,"[np.int64(48), np.int64(58)]","[(np.int64(48), np.int64(58))]",False,Figures/FRB_lensing_results/FRB20220225C_report.txt
FRB20220424C,True,1,"[np.int64(77), np.int64(84)]","[(np.int64(77), np.int64(84))]",False,Figures/FRB_lensing_results/FRB20220424C_report.txt
FRB20221231B,True,2,"[np.int64(71), np.int64(94), np.int64(96)]","[(np.int64(71), np.int64(94)), (np.int64(71), np.int64(96)), (np.int64(71), np.int64(94)), (np.int64(71), np.int64(96))]",False,Figures/FRB_lensing_results/FRB20221231B_report.txt
FRB20230708C,True,2,"[np.int64(57), np.int64(105)]","[(np.int64(57), np.int64(105))]",False,Figures/FRB_lensing_results/FRB20230708C_report.txt
