#FRB:ML_Msun, f_up
1.000000000000000000e+00 1.210009202298111219e+01
1.264855216855296227e+00 1.015556379816379717e+01
1.599858719606058077e+00 7.891419558129208589e+00
2.023589647725156926e+00 5.805331935849541658e+00
2.559547922699535683e+00 4.376383671624378024e+00
3.237457542817644196e+00 3.227186454133973648e+00
4.094915062380425574e+00 2.220864126503897751e+00
5.179474679231211631e+00 1.411824812853994304e+00
6.551285568595509368e+00 8.986623038547089104e-01
8.286427728546843952e+00 6.109650370140594644e-01
1.048113134154685788e+01 4.501663748997712933e-01
1.325711365590109558e+01 3.542661689459570273e-01
1.676832936811008423e+01 2.915447014696695427e-01
2.120950887920190553e+01 2.478942204576501940e-01
2.682695795279725814e+01 2.170536328190681985e-01
3.393221771895329653e+01 1.947938279234669168e-01
4.291934260128778078e+01 1.782469732840084586e-01
5.428675439323859564e+01 1.658462084278707338e-01
6.866488450043001990e+01 1.562512107610504464e-01
8.685113737513529486e+01 1.487093237285216363e-01
1.098541141987558376e+02 1.428010204201120292e-01
1.389495494373137490e+02 1.381522701658251806e-01
1.757510624854793093e+02 1.344307924309418867e-01
2.222996482526195621e+02 1.315205725788996249e-01
2.811768697974230804e+02 1.292570824525782480e-01
3.556480306223128309e+02 1.275530773358357073e-01
4.498432668969443853e+02 1.263315527267560578e-01
5.689866029018298832e+02 1.254881743536346850e-01
7.196856730011521677e+02 1.249131270539874244e-01
9.102981779915218112e+02 1.245148123515053412e-01
1.151395399326448114e+03 1.242452876599985656e-01
1.456348477501244361e+03 1.240648322175614687e-01
1.842069969326716318e+03 1.239450280947444472e-01
2.329951810515372017e+03 1.238635250208343086e-01
2.947051702551809740e+03 1.238062561510154258e-01
3.727593720314941947e+03 1.237677073929526889e-01
4.714866363457394073e+03 1.237430538778889894e-01
5.963623316594642347e+03 1.237276059896884883e-01
7.543120063354622289e+03 1.237179278814665578e-01
9.540954763499943510e+03 1.237118653850895755e-01
1.206792640639328965e+04 1.237080667819338425e-01
1.526417967175233389e+04 1.237056892996175189e-01
1.930697728883249511e+04 1.237042027924352694e-01
2.442053094548649824e+04 1.237032735101614850e-01
3.088843596477484971e+04 1.237026918221658250e-01
3.906939937054621259e+04 1.237023274765162301e-01
4.941713361323838035e+04 1.237020996108484788e-01
6.250551925273975939e+04 1.237019571782679156e-01
7.906043210907700995e+04 1.237018681386830715e-01
1.000000000000000000e+05 1.237018124766660621e-01
